bits,commitments,proofs,generation time,verify time,verify time per proof,verify time per commitment
4,1,1,0.275536835,0.129954815,0.129954815,0.129954815
4,1,2,0.55107367,0.204916239,0.102458119,0.102458119
4,1,4,1.102147341,0.348883867,0.087220967,0.087220967
4,1,8,2.204294682,0.649775505,0.081221938,0.081221938
4,1,16,4.408589363,1.237603426,0.077350214,0.077350214
4,2,1,0.526018962,0.193954945,0.193954945,0.096977472
4,2,2,1.052037925,0.289918184,0.144959092,0.072479546
4,2,4,2.104075849,0.485840321,0.12146008,0.06073004
4,2,8,4.208151698,0.886730433,0.110841304,0.055420652
4,2,16,8.416303396,1.681459665,0.105091229,0.052545615
4,4,1,1.038045287,0.312911749,0.312911749,0.078227937
4,4,2,2.076090574,0.455865622,0.227932811,0.056983203
4,4,4,4.152181149,0.757725716,0.189431429,0.047357857
4,4,8,8.304362297,1.272592306,0.159074038,0.03976851
4,4,16,16.60872459,2.359243155,0.147452697,0.036863174
8,1,1,0.539576888,0.185953379,0.185953379,0.185953379
8,1,2,1.079153776,0.270908833,0.135454416,0.135454416
8,1,4,2.158307552,0.436871529,0.109217882,0.109217882
8,1,8,4.316615105,0.783732176,0.097966522,0.097966522
8,1,16,8.633230209,1.47352314,0.092095196,0.092095196
8,2,1,0.985684082,0.323878527,0.323878527,0.161939263
8,2,2,1.971368164,0.388875246,0.194437623,0.097218812
8,2,4,3.942736328,0.614798546,0.153699636,0.076849818
8,2,8,7.885472655,1.046659946,0.130832493,0.065416247
8,2,16,15.77094531,1.945376158,0.12158601,0.060793005
8,4,1,1.9653088,0.494824648,0.494824648,0.123706162
8,4,2,3.930617601,0.662800074,0.331400037,0.082850009
8,4,4,7.861235201,0.982699871,0.245674968,0.061418742
8,4,8,15.7224704,1.7204597,0.215057462,0.053764366
8,4,16,31.44494081,2.798103333,0.174881458,0.043720365
16,1,1,0.991995499,0.317898035,0.317898035,0.317898035
16,1,2,1.983990997,0.38587594,0.19293797,0.19293797
16,1,4,3.967981994,0.568813324,0.142203331,0.142203331
16,1,8,7.935963988,1.005675793,0.125709474,0.125709474
16,1,16,15.87192798,1.774431467,0.110901967,0.110901967
16,2,1,1.954373732,0.529811382,0.529811382,0.264905691
16,2,2,3.908747464,0.628797293,0.314398646,0.157199323
16,2,4,7.817494929,0.897713184,0.224428296,0.112214148
16,2,8,15.63498986,1.429554224,0.178694278,0.089347139
16,2,16,31.26997972,2.48221612,0.155138507,0.077569254
16,4,1,3.947738692,0.912720203,0.912720203,0.228180051
16,4,2,7.895477384,1.126640081,0.563320041,0.14083001
16,4,4,15.79095477,1.489533424,0.372383356,0.093095839
16,4,8,31.58190954,2.219301224,0.277412653,0.069353163
16,4,16,63.16381907,3.727817535,0.232988596,0.058247149
32,1,1,2.054094002,0.508849859,0.508849859,0.508849859
32,1,2,4.108188003,0.63880825,0.319404125,0.319404125
32,1,4,8.216376007,0.890727758,0.22268194,0.22268194
32,1,8,16.43275201,1.378568888,0.172321111,0.172321111
32,1,16,32.86550403,2.401219368,0.15007621,0.15007621
32,2,1,4.07894586,0.894714117,0.894714117,0.447357059
32,2,2,8.157891721,1.066671133,0.533335567,0.266667783
32,2,4,16.31578344,1.411556959,0.35288924,0.17644462
32,2,8,32.63156688,2.071335554,0.258916944,0.129458472
32,2,16,65.26313376,3.331920147,0.208245009,0.104122505
32,4,1,8.813615829,1.797425032,1.797425032,0.449356258
32,4,2,17.62723166,1.988363743,0.994181871,0.248545468
32,4,4,35.25446332,2.572169542,0.643042386,0.160760596
32,4,8,70.50892663,3.497879505,0.437234938,0.109308735
32,4,16,141.0178533,5.458253622,0.341140851,0.085285213
64,1,1,4.173538014,0.887727976,0.887727976,0.887727976
64,1,2,8.347076029,1.028670549,0.514335275,0.514335275
64,1,4,16.69415206,1.391541719,0.34788543,0.34788543
64,1,8,33.38830411,1.969380379,0.246172547,0.246172547
64,1,16,66.77660823,3.203974247,0.20024839,0.20024839
64,2,1,8.037050039,1.665507317,1.665507317,0.832753658
64,2,2,16.07410008,1.882397175,0.941198587,0.470599294
64,2,4,32.14820015,2.360255718,0.59006393,0.295031965
64,2,8,64.29640031,3.14100647,0.392625809,0.196312904
64,2,16,128.5928006,4.804461002,0.300278813,0.150139406
